[ 2016-08-21T23:21:56+08:00 ] /testSkillMaster/ | ERR: (ThinkException) 无法加载模块Index
[ 2016-08-21T23:22:00+08:00 ] /testSkillMaster/ | ERR: (ThinkException) 无法加载模块Index
[ 2016-08-21T23:22:01+08:00 ] /testSkillMaster/ | ERR: (ThinkException) 无法加载模块Index
[ 2016-08-21T23:22:36+08:00 ] /testSkillMaster/index.php/Login/register | INFO: Tag[ route_check ] --START--
[ 2016-08-21T23:22:36+08:00 ] /testSkillMaster/index.php/Login/register | INFO: Run CheckRoute Behavior [ RunTime:0.001959s ]
[ 2016-08-21T23:22:36+08:00 ] /testSkillMaster/index.php/Login/register | INFO: Tag[ route_check ] --END-- [ RunTime:0.002079s ]
[ 2016-08-21T23:22:36+08:00 ] /testSkillMaster/index.php/Login/register | INFO: Tag[ app_begin ] --START--
[ 2016-08-21T23:22:36+08:00 ] /testSkillMaster/index.php/Login/register | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001441s ]
[ 2016-08-21T23:22:36+08:00 ] /testSkillMaster/index.php/Login/register | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001554s ]
[ 2016-08-21T23:22:36+08:00 ] /testSkillMaster/index.php/Login/register | INFO: Tag[ view_template ] --START--
[ 2016-08-21T23:22:36+08:00 ] /testSkillMaster/index.php/Login/register | INFO: Run LocationTemplate Behavior [ RunTime:0.002419s ]
[ 2016-08-21T23:22:36+08:00 ] /testSkillMaster/index.php/Login/register | INFO: Tag[ view_template ] --END-- [ RunTime:0.002550s ]
[ 2016-08-21T23:22:36+08:00 ] /testSkillMaster/index.php/Login/register | INFO: Tag[ view_parse ] --START--
[ 2016-08-21T23:22:36+08:00 ] /testSkillMaster/index.php/Login/register | INFO: Run ParseTemplate Behavior [ RunTime:0.015069s ]
[ 2016-08-21T23:22:36+08:00 ] /testSkillMaster/index.php/Login/register | INFO: Tag[ view_parse ] --END-- [ RunTime:0.015172s ]
[ 2016-08-21T23:22:36+08:00 ] /testSkillMaster/index.php/Login/register | INFO: Tag[ view_filter ] --START--
[ 2016-08-21T23:22:36+08:00 ] /testSkillMaster/index.php/Login/register | INFO: Run ContentReplace Behavior [ RunTime:0.001189s ]
[ 2016-08-21T23:22:36+08:00 ] /testSkillMaster/index.php/Login/register | INFO: Run TokenBuild Behavior [ RunTime:0.001141s ]
[ 2016-08-21T23:22:36+08:00 ] /testSkillMaster/index.php/Login/register | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000957s ]
[ 2016-08-21T23:22:36+08:00 ] /testSkillMaster/index.php/Login/register | INFO: Run ShowRuntime Behavior [ RunTime:0.004103s ]
[ 2016-08-21T23:22:36+08:00 ] /testSkillMaster/index.php/Login/register | INFO: Tag[ view_filter ] --END-- [ RunTime:0.007638s ]
[ 2016-08-21T23:22:36+08:00 ] /testSkillMaster/index.php/Login/register | INFO: Tag[ view_end ] --START--
[ 2016-08-21T23:22:36+08:00 ] /testSkillMaster/index.php/Login/register | INFO: Run ShowPageTrace Behavior [ RunTime:0.001344s ]
[ 2016-08-21T23:22:36+08:00 ] /testSkillMaster/index.php/Login/register | INFO: Tag[ view_end ] --END-- [ RunTime:0.001433s ]
[ 2016-08-21T23:23:00+08:00 ] /testSkillMaster/index.php/Login/register | INFO: Tag[ route_check ] --START--
[ 2016-08-21T23:23:00+08:00 ] /testSkillMaster/index.php/Login/register | INFO: Run CheckRoute Behavior [ RunTime:0.001831s ]
[ 2016-08-21T23:23:00+08:00 ] /testSkillMaster/index.php/Login/register | INFO: Tag[ route_check ] --END-- [ RunTime:0.001958s ]
[ 2016-08-21T23:23:00+08:00 ] /testSkillMaster/index.php/Login/register | INFO: Tag[ app_begin ] --START--
[ 2016-08-21T23:23:00+08:00 ] /testSkillMaster/index.php/Login/register | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001395s ]
[ 2016-08-21T23:23:00+08:00 ] /testSkillMaster/index.php/Login/register | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001481s ]
[ 2016-08-21T23:23:00+08:00 ] /testSkillMaster/index.php/Login/register | INFO: Tag[ view_template ] --START--
[ 2016-08-21T23:23:00+08:00 ] /testSkillMaster/index.php/Login/register | INFO: Run LocationTemplate Behavior [ RunTime:0.002171s ]
[ 2016-08-21T23:23:00+08:00 ] /testSkillMaster/index.php/Login/register | INFO: Tag[ view_template ] --END-- [ RunTime:0.002273s ]
[ 2016-08-21T23:23:00+08:00 ] /testSkillMaster/index.php/Login/register | INFO: Tag[ view_parse ] --START--
[ 2016-08-21T23:23:00+08:00 ] /testSkillMaster/index.php/Login/register | INFO: Run ParseTemplate Behavior [ RunTime:0.024276s ]
[ 2016-08-21T23:23:00+08:00 ] /testSkillMaster/index.php/Login/register | INFO: Tag[ view_parse ] --END-- [ RunTime:0.024391s ]
[ 2016-08-21T23:23:00+08:00 ] /testSkillMaster/index.php/Login/register | INFO: Tag[ view_filter ] --START--
[ 2016-08-21T23:23:00+08:00 ] /testSkillMaster/index.php/Login/register | INFO: Run ContentReplace Behavior [ RunTime:0.001228s ]
[ 2016-08-21T23:23:00+08:00 ] /testSkillMaster/index.php/Login/register | INFO: Run TokenBuild Behavior [ RunTime:0.001302s ]
[ 2016-08-21T23:23:00+08:00 ] /testSkillMaster/index.php/Login/register | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001022s ]
[ 2016-08-21T23:23:00+08:00 ] /testSkillMaster/index.php/Login/register | INFO: Run ShowRuntime Behavior [ RunTime:0.001138s ]
[ 2016-08-21T23:23:00+08:00 ] /testSkillMaster/index.php/Login/register | INFO: Tag[ view_filter ] --END-- [ RunTime:0.004933s ]
[ 2016-08-21T23:23:00+08:00 ] /testSkillMaster/index.php/Login/register | INFO: Tag[ view_end ] --START--
[ 2016-08-21T23:23:00+08:00 ] /testSkillMaster/index.php/Login/register | INFO: Run ShowPageTrace Behavior [ RunTime:0.001141s ]
[ 2016-08-21T23:23:00+08:00 ] /testSkillMaster/index.php/Login/register | INFO: Tag[ view_end ] --END-- [ RunTime:0.001224s ]
[ 2016-08-21T23:23:00+08:00 ] /testSkillMaster/index.php/Login/verify | ERR: (ThinkException) 非法操作verify
